Lateral,Longitudinal,GDP_Scenario,Peak_Speed_mps,Speed_Mode,RMS_CTE_m,Peak_CTE_m,RMS_Heading_Err_deg,RMS_Speed_Err_mps,Peak_Speed_Err_mps,Peak_Lon_Dev_m,RMS_Lon_Dev_m,Loop_Time_s,Goal_Reached,Termination,REQ1_Lat_Pass,REQ1_Lon_Pass,Overall_Pass
mpc,pid,GDP-S3,4,profile,0.067,0.2035,2.231,0.2549,2.9908,2.7343,0.3459,142.4,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,5,profile,0.0689,0.2065,2.2901,0.2937,3.2708,3.2465,0.4366,136.1,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3,7,profile,0.0903,0.2754,2.6761,0.3747,3.4444,3.5865,0.5934,96.3,true,goal_reached,PASS,FAIL,FAIL
mpc,pid,GDP-S3-EXT,10,constant,15.1492,25.746,62.6049,1.4584,9.4929,23.5032,4.4915,150,false,max_travel_time,FAIL,FAIL,FAIL
mpc,lqr,GDP-S1,0.5,constant,0.1706,0.3006,25.5771,0.0187,0.0736,0.1213,0.0507,400,false,max_travel_time,PASS,PASS,PASS
mpc,lqr,GDP-S2,2,constant,0.0602,0.2055,2.0054,0.0796,1.4929,0.7396,0.1054,177.85,true,goal_reached,PASS,PASS,PASS
mpc,lqr,GDP-S3,3,profile,0.0345,0.1475,6.566,0.1372,2.4534,1.8216,0.1614,250,false,max_travel_time,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,4,profile,0.0675,0.2079,2.2425,0.2418,2.9908,2.7343,0.3465,142.4,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,5,profile,0.0691,0.2094,2.2918,0.2816,3.2708,3.2465,0.4343,136.1,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3,7,profile,0.0905,0.28,2.6866,0.3609,3.4444,3.5865,0.5876,96.25,true,goal_reached,PASS,FAIL,FAIL
mpc,lqr,GDP-S3-EXT,10,constant,14.5344,24.0273,59.7677,1.3578,9.4929,23.5032,4.4075,150,false,max_travel_time,FAIL,FAIL,FAIL
